lat,lon,pml_0,aal_0,pml_45,aal_45,pml_50,aal_50,pml_52,aal_52,ins_52,risk_52,pml_60,aal_60,ins_60,risk_60,pml_70,aal_70,ins_70,risk_70,pml_77,aal_77,ins_77,risk_77,gc_check
33.5,-110.2,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.005897530851457067,0.0,3.017024,0.0,0.004098284151012538,0.0,2.096576,0.0,0.0017992467004445288,0.0,0.920448,0.0,0.0008996233502222644,0.0,0.460224,0.0
33.5,-111.1,0.24,0.01,0.15,0.01,0.11,0.01,0.09116183282252278,0.005997489001481763,0.728688,3.06816,0.05067878206252089,0.004098284151012538,0.405093,2.096576,0.010695522052642476,0.0017992467004445288,0.085493,0.920448,0.0,0.0008996233502222644,0.0,0.460224,4.65426
33.5,-112.0,0.21,0.002498953750617401,0.12,0.002498953750617401,0.09,0.002498953750617401,0.07866706406943579,0.002498953750617401,0.628813,1.2784,0.04168254856029825,0.0015993304003951367,0.333183,0.818176,0.0066971960516546344,0.0006997070501728723,0.053533,0.357952,0.0,0.0002998744500740881,0.0,0.153408,3.82806
33.5,-112.9,0.15,0.0009995815002469604,0.08,0.0009995815002469604,0.07,0.0009995815002469604,0.055876605863805086,0.0009995815002469604,0.446641,0.51136,0.025489328256297492,0.0005997489001481761,0.203745,0.306816,0.0,0.0002998744500740881,0.0,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,2.3409
33.5,-113.8,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-109.3,0.01,0.0004997907501234802,0.0,0.0004997907501234802,0.0,0.0004997907501234802,0.0,0.0004997907501234802,0.0,0.25568,0.0,0.0002998744500740881,0.0,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,0.0,9.995815002469604e-05,0.0,0.051136,0.0
34.4,-110.2,0.0,0.0030987026507655773,0.0,0.0030987026507655773,0.0,0.0030987026507655773,0.0,0.0030987026507655773,0.0,1.585216,0.0,0.002099121150518617,0.0,1.073856,0.0,0.0008996233502222644,0.0,0.460224,0.0,0.00039983260009878417,0.0,0.204544,0.0
34.4,-111.1,0.0,0.01,0.0,0.01,0.0,0.004398158601086626,0.0,0.004398158601086626,0.0,2.249984,0.0,0.0030987026507655773,0.0,1.585216,0.0,0.0012994559503210486,0.0,0.664768,0.0,0.0006997070501728723,0.0,0.357952,0.0
34.4,-112.0,0.0,0.0026988700506667927,0.0,0.0026988700506667927,0.0,0.0026988700506667927,0.0,0.0026988700506667927,0.0,1.380672,0.0,0.0017992467004445288,0.0,0.920448,0.0,0.0007996652001975683,0.0,0.409088,0.0,0.00039983260009878417,0.0,0.204544,0.0
34.4,-112.9,0.16,0.0011994978002963523,0.09,0.0011994978002963523,0.07,0.0011994978002963523,0.060674597064990496,0.0011994978002963523,0.484993,0.613632,0.028588030907063067,0.0006997070501728723,0.228514,0.357952,0.0008996233502222644,0.0002998744500740881,0.007191,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,2.62548
34.4,-113.8,0.04,0.0004997907501234802,0.02,0.0004997907501234802,0.02,0.0004997907501234802,0.007596819401876899,0.0004997907501234802,0.060724,0.25568,0.0031986608007902734,0.0002998744500740881,0.025568,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.29376
34.4,-114.7,0.02,0.0002998744500740881,0.01,0.0002998744500740881,0.0,0.0002998744500740881,0.0,0.0002998744500740881,0.0,0.153408,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0
35.3,-109.3,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.3,-110.2,0.05,0.0004997907501234802,0.03,0.0004997907501234802,0.02,0.0004997907501234802,0.011295270952790653,0.0004997907501234802,0.090287,0.25568,0.0046980330511607145,0.0002998744500740881,0.037553,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.43146
35.3,-111.1,0.12,0.0008996233502222644,0.07,0.0008996233502222644,0.06,0.0008996233502222644,0.042782088210569905,0.0008996233502222644,0.341972,0.460224,0.018992048504692247,0.0004997907501234802,0.15181,0.25568,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,1.7442
35.3,-112.0,0.12,0.0008996233502222644,0.07,0.0008996233502222644,0.06,0.0008996233502222644,0.04218233931042173,0.0008996233502222644,0.337178,0.460224,0.01869217405461816,0.0005997489001481761,0.149413,0.306816,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,1.71666
35.3,-112.9,0.1,0.0007996652001975683,0.06,0.0007996652001975683,0.05,0.0007996652001975683,0.03488539435861892,0.0007996652001975683,0.278851,0.409088,0.014993722503704406,0.0004997907501234802,0.11985,0.25568,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,1.377
35.3,-113.8,0.09,0.0007996652001975683,0.05,0.0007996652001975683,0.04,0.0007996652001975683,0.030387277607507597,0.0007996652001975683,0.242896,0.409088,0.012694685053136397,0.00039983260009878417,0.101473,0.204544,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,1.16586
36.2,-111.1,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.2,-112.0,0.01,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.2,-112.9,0.03,0.00039983260009878417,0.01,0.00039983260009878417,0.01,0.00039983260009878417,0.0,0.00039983260009878417,0.0,0.204544,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0
36.2,-113.8,0.03,0.0004997907501234802,0.02,0.0004997907501234802,0.01,0.0004997907501234802,0.001999163000493921,0.0004997907501234802,0.01598,0.25568,0.0007996652001975683,0.0002998744500740881,0.006392,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.07344
37.1,-111.1,0.01,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.6,-116.5,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.6,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.6,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-114.7,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-115.6,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-116.5,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-115.6,0.01,0.0002998744500740881,0.0,0.0002998744500740881,0.0,0.0002998744500740881,0.0,0.0002998744500740881,0.0,0.153408,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-116.5,0.01,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-117.4,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-118.3,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-119.2,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.3,-116.5,0.01,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.00019991630004939209,0.0,0.102272,0.0,9.995815002469604e-05,0.0,0.051136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
